Player,Elo
Jannik Sinner,2324.8
Novak Djokovic,2197.5
Carlos Alcaraz,2151.6
Alexander Zverev,2101.7
Daniil Medvedev,2027.7
Taylor Fritz,2027.3
Grigor Dimitrov,2022.9
Jack Draper,2021.0
Tomas Machac,1977.9
Tommy Paul,1972.4
Holger Rune,1960.0
Alex De Minaur,1959.2
Hubert Hurkacz,1944.7
Gael Monfils,1935.5
Matteo Berrettini,1932.3
Ben Shelton,1928.1
Stefanos Tsitsipas,1928.1
Casper Ruud,1928.0
Felix Auger Aliassime,1924.7
Ugo Humbert,1921.5
Lorenzo Musetti,1900.4
Sebastian Korda,1899.2
Karen Khachanov,1897.6
Thanasi Kokkinakis,1897.1
Arthur Fils,1893.9
Andrey Rublev,1883.1
Jiri Lehecka,1876.6
Jordan Thompson,1876.3
Alex Michelsen,1871.9
Joao Fonseca,1866.1
Jan Lennard Struff,1864.3
Jakub Mensik,1856.7
Rafael Nadal,1855.2
Marcos Giron,1843.8
Alexei Popyrin,1843.8
Tallon Griekspoor,1841.2
Frances Tiafoe,1835.3
Flavio Cobolli,1834.2
Giovanni Mpetshi Perricard,1833.1
Jacob Fearnley,1830.3
Denis Shapovalov,1827.6
Nishesh Basavareddy,1825.2
Juncheng Shang,1823.4
Francisco Cerundolo,1822.4
Zizou Bergs,1820.9
Alejandro Davidovich Fokina,1815.4
Learner Tien,1812.3
Nuno Borges,1810.7
Yoshihito Nishioka,1810.6
Roberto Bautista Agut,1801.3
Reilly Opelka,1799.0
Miomir Kecmanovic,1797.5
Andy Murray,1796.8
Lorenzo Sonego,1796.2
Benjamin Bonzi,1791.5
Matteo Arnaldi,1787.9
Yibing Wu,1785.4
Roman Safiullin,1784.1
Brandon Nakashima,1783.3
Emil Ruusuvuori,1779.2
Pablo Carreno Busta,1776.2
Fabian Marozsan,1774.2
Tomas Martin Etcheverry,1772.3
Marton Fucsovics,1771.2
Nicolas Jarry,1770.1
Roberto Carballes Baena,1769.5
Kei Nishikori,1768.8
Aleksandar Vukic,1765.9
David Goffin,1764.6
Cameron Norrie,1763.2
Gabriel Diallo,1757.6
Christopher Oconnell,1757.3
Kamil Majchrzak,1756.3
Quentin Halys,1754.9
Alexander Bublik,1752.8
Alejandro Tabilo,1749.6
Alexandre Muller,1749.1
Zhizhen Zhang,1744.8
Lucas Pouille,1736.3
Hamad Medjedovic,1732.0
Botic Van De Zandschulp,1731.0
Tristan Boyer,1729.1
Stan Wawrinka,1727.0
Alexander Blockx,1725.5
Dominik Koepfer,1723.3
Marin Cilic,1722.9
Sebastian Baez,1722.7
Arthur Cazaux,1721.9
Jaume Munar,1719.7
Aslan Karatsev,1719.6
Lloyd Harris,1715.5
Borna Gojo,1711.4
Corentin Moutet,1710.5
Bu Yunchaokete,1710.2
Fabio Fognini,1706.8
Aleksandar Kovacevic,1704.2
Soon Woo Kwon,1701.2
Mackenzie Mcdonald,1700.9
Max Purcell,1700.5
Laslo Djere,1700.3
Sebastian Ofner,1699.4
Thiago Seyboth Wild,1695.7
Dusan Lajovic,1694.9
Arthur Rinderknech,1694.5
Pedro Martinez,1691.8
Leandro Riedi,1689.4
Colton Smith,1685.2
Facundo Diaz Acosta,1684.4
Valentin Vacherot,1684.0
Martin Landaluce,1681.0
Rinky Hijikata,1680.9
Cristian Garin,1677.6
Thiago Monteiro,1676.3
Yosuke Watanuki,1675.9
Nikoloz Basilashvili,1675.0
Alexander Shevchenko,1674.6
Yannick Hanfmann,1672.1
Diego Schwartzman,1671.8
Camilo Ugo Carabelli,1671.5
Adrian Mannarino,1669.8
Luciano Darderi,1669.3
Facundo Bagnis,1668.8
Christopher Eubanks,1668.2
Daniel Evans,1667.6
Borna Coric,1664.1
Mattia Bellucci,1664.0
Filip Krajinovic,1660.4
Nicolas Moreno De Alboran,1659.4
Mariano Navone,1658.3
Dominic Thiem,1658.2
Luca Nardi,1657.7
Hugo Gaston,1657.6
James Duckworth,1655.1
Michael Mmoh,1652.3
Jesper De Jong,1648.9
Pavel Kotov,1647.9
Eliot Spizzirri,1647.2
Francisco Comesana,1646.8
Vit Kopriva,1642.5
Lukas Klein,1642.1
Richard Gasquet,1634.3
Marc Andrea Huesler,1633.3
Francesco Passaro,1633.3
Daniel Altmaier,1630.6
Giulio Zeppieri,1629.6
Andrea Vavassori,1629.0
Otto Virtanen,1628.5
Alex Molcan,1626.1
Taro Daniel,1624.7
Jaime Faria,1624.4
Hugo Dellien,1624.1
Gregoire Barrere,1621.9
Mark Lajal,1621.8
Constant Lestienne,1620.7
Duje Ajdukovic,1620.7
Raphael Collignon,1616.2
Damir Dzumhur,1613.9
Mikhail Kukushkin,1613.0
Brandon Holt,1612.2
Daniel Elahi Galan,1608.1
Radu Albot,1606.0
Kyrian Jacquet,1604.4
James Trotter,1601.7
Adam Walton,1601.1
Sumit Nagal,1600.2
Liam Draxl,1599.4
Jozef Kovalik,1597.7
Harold Mayot,1595.9
Jerome Kym,1595.9
Ethan Quinn,1595.8
Dominic Stricker,1595.6
Tomas Barrios Vera,1589.5
Federico Coria,1588.3
Alexander Ritschard,1587.2
Roman Andres Burruchaga,1586.5
Elmer Moller,1586.4
Maximilian Marterer,1585.6
Dino Prizmic,1584.5
Pablo Llamas Ruiz,1583.9
Matteo Gigante,1582.9
Pierre Hugues Herbert,1582.3
Luca Van Assche,1580.1
Felipe Meligeni Alves,1578.1
Ricardas Berankis,1577.6
Thiago Agustin Tirante,1575.3
Seong Chan Hong,1574.6
Kyle Edmund,1574.1
Juan Manuel Cerundolo,1573.6
J J Wolf,1573.5
Yasutaka Uchiyama,1573.4
Tristan Schoolkate,1573.2
Hady Habib,1573.0
Titouan Droguet,1571.8
Sho Shimabukuro,1569.5
Zachary Svajda,1567.4
Lukas Neumayer,1566.4
Ugo Blanchet,1566.0
Terence Atmane,1565.4
Gustavo Heide,1564.4
Benjamin Hassan,1563.8
